"Fornecedor";"Contratante";"Número do Contrato";"Objeto do Contrato";"Início da Vigência";"Fim da Vigência";"Data da Assinatura";"Valor do Contrato";"Valor é porcentagem?";
"Distribuidora Macbraz Ltda.";"Autarquia Especial Municipal de Limpeza Urbana";"0382018";"Aquisicao de cal especial para pintura destinados as necessidades desta Autarquia";"2018-10-03";"2018-12-31";"2018-10-02";"25095.0";"0";
"VENDE TUDO MAGAZINE";"Autarquia Especial Municipal de Limpeza Urbana";"0352018";"Aquisicao de carrinhos de mao, destinados as necessidades desta Autarquia";"2018-10-03";"2018-12-31";"2018-09-26";"59334.0";"0";
"ROCHA MOREIRA EQUIPAMENTOS MEDICOS EIRELI";"Secretaria Municipal de Saude";"107732019";"Aquisicao de material radiologico";"";"2019-12-31";"2019-04-26";"74099.6";"0";
"GRADUAL COMERCIO SERVICOS EIRELLI";"Secretaria Municipal de Saude";"107742019";"Aquisicao de material radiologico";"";"";"2019-04-30";"117872.0";"0";
"REGIONAL FORTALEZA DISTRIBUIDORA DE PRODUTOS RADIOLOGICOS EIRELI ";"Secretaria Municipal de Saude";"107722019";"Aquisicao de material radiologico";"";"";"2019-05-03";"126799.0";"0";
"IBF - INDUSTRIA BRASILEIRA DE FILMES S/A.";"Secretaria Municipal de Saude";"108002019";"Aquisicao de material radiologico";"";"";"2019-04-29";"162325.55";"0";
"JOSE PEREIRA DE LIMA TRANSPORTE";"Autarquia Especial Municipal de Limpeza Urbana";"0362018";"Prestacao de servico de locacao de bens moveis com condutor para atender as necessidades desta Autarquia";"2018-09-26";"2019-09-26";"2018-09-26";"708753.54";"0";
"DEPOSITO GERAL DE SUPRIMENTOS HOSPITALARES LTDA";"Secretaria Municipal de Saude";"108182019";"Aquisicao de material medico padrao, decorrente de sistema de registro de precos";"";"";"2019-05-16";"3471667.5";"0";
"SAMTRONIC INDUSTRIA E COMERCIO LIMITADA";"Secretaria Municipal de Saude";"108192019";"Aquisicao de material medico padrao, decorrente de sistema de registro de precos";"";"";"2019-05-21";"630000.0";"0";
"Ayres & Queiroz Ltda.";"Autarquia Especial Municipal de Limpeza Urbana";"0322018";"Registro de precos, consignado em ata, para eventual aquisicao de sacos plasticos, destinados as necessidades desta Autarquia";"2018-08-30";"2018-12-31";"2018-08-27";"133792.0";"0";
"Ayres & Queiroz Ltda.";"Autarquia Especial Municipal de Limpeza Urbana";"0082019";"Aquisicao de sacos plasticos, destinados as necessidades desta Autarquia";"2019-01-30";"2019-12-31";"2019-01-24";"267584.0";"0";
"JSB Distribuidora Ltda.-ME";"Autarquia Especial Municipal de Limpeza Urbana";"0172018";"Aquisicao de embalagens descartaveis, destinadas as necessidades desta Autarquia";"2018-05-16";"2018-12-31";"2018-05-08";"63360.0";"0";
"JSB Distribuidora Ltda.-ME";"Autarquia Especial Municipal de Limpeza Urbana";"0072019";"Aquisicao de embalagens descartaveis, destinadas as necessidades desta Autarquia";"2019-01-30";"2019-03-31";"2019-01-21";"21120.0";"0";
"DANTAS ROCHA INCORPORACOES IMOBILIARIAS LTDA-ME";"Secretaria Municipal de Saude";"108032019";"Execucao de servicos de reforma, recuperacao e melhorias nas unidades basicas de saude";"";"2020-10-16";"2019-04-24";"2600233.33";"0";
"ENGEMEC Construtora e Incorporacoes Ltda";"Autarquia Especial Municipal de Limpeza Urbana";"070172018";"Selecao de empresa para a execucao de pavimentacao em paralelipipedos e drenagem das ruas Vanja Viana Sales e Mapja Violeta Formiga (trecho: Moacir Rocha de Mendonca/ Bel. Jose de Oliveira Curchatuz) Aeroclube, em Joao Pessoa- PB";"";"";"2018-06-08";"521361.19";"0";
"ALDRIN COUTINHO DE ARAUJO ME SALUTAR";"Autarquia Especial Municipal de Limpeza Urbana";"0092018";"Aquisicao de hortifrutigranjeiro, destinados as necessidades desta Autarquia";"2018-02-28";"2018-12-31";"2018-02-26";"159527.0";"0";
"INTTEC DISTRIBUICAO E LOGISTICA EIRELI";"Secretaria Municipal de Infraestrutura";"070122019";"Aquisicao de pa carregadeira pneus";"2019-05-03";"2020-05-04";"2019-05-23";"266989.56";"0";
"XCMG BRASIL INDUSTRIA LTDA ";"Secretaria Municipal de Infraestrutura";"070132019";"Aquisicao de motoniveladora";"2019-05-03";"2020-05-04";"2019-05-23";"1067900.0";"0";
"DISTRIBUIDORA FF ALIMENTOS";"Autarquia Especial Municipal de Limpeza Urbana";"0032018";"Aquisicao de generos alimenticios, destinados as necessidades desta Autarquia";"2018-02-21";"2018-12-31";"2018-02-14";"77683.24";"0";
"MINE MERCADO UNIAO LTDA";"Autarquia Especial Municipal de Limpeza Urbana";"0042018";"Aquisicao de generos alimenticios, destinados as necessidades desta Autarquia";"2018-02-21";"2018-12-31";"2018-02-14";"104216.24";"0";
"NMQ COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA ";"Secretaria Municipal de Infraestrutura";"070142019";"Aquisicao de retroescavadeira pneus - 4x4";"2019-05-03";"2020-05-04";"2019-05-23";"456000.0";"0";
"LUCIELMA MARIA OLIVEIRA DA SILVA";"Instituto Candida Vargas";"232382019";"AQUISICAO DE CARNE, PEIXE, FRANGO E DERIVADOS PARA O INSTITUTO CANDIDA VARGAS";"";"2019-12-31";"2019-02-19";"178646.45";"0";
"MB Auto Pecas Ltda.";"Autarquia Especial Municipal de Limpeza Urbana";"0102018";"Aquisicao de ferramentas, destinadas as necessidades desta Autarquia";"2019-03-13";"2018-12-31";"2018-03-09";"65085.56";"0";
"ESPERANCA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS INDUSTRIALIZADOS EIRELI - ME";"Instituto Candida Vargas";"232642019";"AQUISICAO DE POLPA DE FRUTAS PARA O INSTITUTO CANDIDA VARGAS";"";"2019-12-31";"2019-02-21";"13363.5";"0";
"CNH INDUSTRIAL BRASIL LTDA ";"Secretaria Municipal de Infraestrutura";"070152019";"Aquisicao de caminhao 4x2 - Equipado para limpeza com vacuo";"2019-05-03";"2020-05-04";"2019-05-23";"326887.66";"0";
"CNH INDUSTRIAL BRASIL LTDA ";"Secretaria Municipal de Infraestrutura";"070162019";"Aquisicao de caminhao tanque 4x2 para 6.000 L";"2019-05-03";"2020-05-04";"2019-05-23";"547000.04";"0";
"DBA INDUSTRIA E COMERCIO DE EQUIPAMENTOS RODOVIARIO ";"Secretaria Municipal de Infraestrutura";"070172019";"Aquisicao de caminhao 4x2 - Equipado para limpeza e hidrojateamento";"2019-05-03";"2020-05-04";"2019-05-23";"518890.0";"0";
"Papelaria e Livraria Pedro II Ltda.";"Superintendencia Executiva de Mobilidade Urbana";"192017";"Aquisicao de Papel A4 Alcalino";"2017-06-08";"2018-06-08";"2017-06-08";"38750.0";"0";
"CNH INDUSTRIAL BRASIL LTDA ";"Secretaria Municipal de Infraestrutura";"070182019";"Aquisicao de caminhao guindaste tipo "munck" destinado a transporte de carga e servicos gerais";"2019-05-03";"2020-05-04";"2019-05-23";"374325.31";"0";
"CNH INDUSTRIAL BRASIL LTDA ";"Secretaria Municipal de Infraestrutura";"070192019";"Aquisicao de caminhao basculante 06 M3 e caminhao basculante 10 M3";"2019-05-03";"2020-05-04";"2019-05-23";"2235000.0";"0";
"XCMG BRASIL INDUSTRIA LTDA ";"Secretaria Municipal de Infraestrutura";"070202019";"Aquisicao de escavadeira hidraulica";"2019-05-03";"2020-05-04";"2019-05-23";"439901.0";"0";
"GILMARA MARTINS DAS NEVES - ME R";"Superintendencia Executiva de Mobilidade Urbana";"042019";"Aquisicao de equipamentos sinalizadores visuais e acusticos";"2019-02-12";"2020-02-12";"2019-02-12";"23999.0";"0";
"PG SINALIZACAO E EQUIPAMENTOS DE SEGURANCA LTDA EP";"Superintendencia Executiva de Mobilidade Urbana";"052019";"Aquisicao de equipamentos sinalizadores visuais e acusticos";"2019-02-26";"2020-02-26";"2019-02-26";"9444.12";"0";
"MJ COMERCIO DE ARTIGOS MEDICOS E ORTOPEDICOS LTDA";"Instituto Candida Vargas";"232802019";"AQUISICAO DE MATERIAL MEDICO HOSPITALAR - LUVAS LATEX E SILICONE PARA O INSTITUTO CANDIDA VARGAS";"";"2019-12-31";"2019-03-25";"17685.0";"0";
"PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTI";"Instituto Candida Vargas";"232922019";"AQUISICAO DE MATERIAL MEDICO HOSPITALAR - LUVAS LATEX E SILICONE PARA O INSTITUTO CANDIDA VARGAS";"";"2019-12-31";"2019-04-04";"65034.0";"0";
"PREMIUM HOSPITALAR EIRELI";"Instituto Candida Vargas";"232932019";"AQUISICAO DE MATERIAL MEDICO HOSPITALAR - LUVAS LATEX E SILICONE PARA O INSTITUTO CANDIDA VARGAS";"";"2019-12-31";"2019-04-04";"19237.5";"0";
"MJ COMERCIO DE ARTIGOS MEDICOS E ORTOPEDICOS LTDA";"Instituto Candida Vargas";"233112019";"AQUISICAO DE MATERIAL MEDICO HOSPITALAR - LUVAS LATEX E SILICONE PARA O INSTITUTO CANDIDA VARGAS";"";"2019-12-31";"2019-04-25";"8515.0";"0";
"GIGANTE PRODUTOS MEDICOS EIRELI - EPP";"Instituto Candida Vargas";"233122019";"AQUISICAO DE EQUIPAMENTO MEDICO - CAMAS E BERCOS PARA O INSTITUTO CANDIDA VARGAS";"";"2019-12-31";"2019-05-02";"88700.0";"0";
"BJ Comercio de Alimentos Ltda.EPP";"Secretaria de Administracao";"040882019";"Aquisicao de generos alimenticios nao pereciveis para atender as necessidades da Secretaria de Administracao-SEAD.";"2019-04-25";"2020-04-24";"2019-04-25";"630.3";"0";
"DISTRIBUIDORA FF ALIMENTOS";"Instituto Candida Vargas";"040932019";"Aquisicao de generos alimenticios pereciveis e nao pereciveis para atender as necessidades do Instituto Candida Vargas-ICV.";"2019-04-25";"2020-04-24";"2019-04-25";"16670.67";"0";
"DISTRIBUIDORA FF ALIMENTOS";"Secretaria de Administracao";"04094219";"Aquisicao de generos alimenticios pereciveis e  nao pereciveis para atender as necessidades da Secretaria de Administracao-SEAD.";"2019-04-25";"2020-04-24";"2019-04-25";"471.2";"0";
